State,main,paramStart,paramEnd,id,comma,opAtrib,term,opAccess,fAdd,fRemove,fSort,fUpper,fLower,fLength,fRefresh,fDiff_dates,fCollectData,fCompare,tInt,tFloat,tString,tBool,tCommit,tUser,tRepository,tFile,tIssue,tPullRequest,tComment,tDate,tInts,tFloats,tStrings,tBools,tCommits,tUsers,tRepositories,tFiles,tIssues,tPullRequests,tComments,tDates,tVoid,prWrite,prRead,prWhile,prFor,in,prIf,prElse,escStart,escEnd,opConc,opLogicOr,opLogicAnd,opRel1,opRel2,opRel3,opAritAd,opAritMul,opNeg,tLitInt,tLitFloat,tLitBool,tLitString,prReturn,$
36,r68,r68,,r68,,,,,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,,r68,r68,r68,r68,,r68,r68,,r68,,,,,,,,,,r68,r68,r68,r68,r68,r68
37,s70,s57,,s63,,,,,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,,s44,s45,s46,s47,,s48,s49,,s41,,,,,,,,,,s65,s66,s67,s68,s50,
38,,,,,,s83,s82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s84,,,,,,,,,,,,,,
39,s70,s57,,s63,,,,,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,,s44,s45,s46,s47,,s48,s49,,s41,,,,,,,,,,s65,s66,s67,s68,s50,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s86,,,,,,,,,,,,,,,
41,r73,r73,,r73,,,,,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,,r73,r73,r73,r73,,r73,r73,,r73,,,,,,,,,,r73,r73,r73,r73,r73,r73
42,,,,s87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,r76,,,r76,r76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r76,,r76,s88,,,,,,,,,,,,,
44,s70,s57,,s63,,,,,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s65,s66,s67,s68,,
45,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,s70,s57,,s63,,,,,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s65,s66,s67,s68,,
47,,,,s92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,s70,s57,,s63,,,,,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s65,s66,s67,s68,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s35,,,,,,,,,,,,,,,,
50,s70,s57,,s63,,,,,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s65,s66,s67,s68,,
51,,,r78,,,r78,r78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r78,,r78,r78,s96,,,,,,,,,,,,
52,,,r80,,,r80,r80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r80,,r80,r80,r80,s97,s98,s99,,,,,,,,,
53,,,r84,,,r84,r84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r84,,r84,r84,r84,r84,r84,r84,s100,,,,,,,,
54,,,r86,,,r86,r86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r86,,r86,r86,r86,r86,r86,r86,r86,s101,,,,,,,
55,,,r88,,,r88,r88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r88,,r88,r88,r88,r88,r88,r88,r88,r88,s102,,,,,,
56,,,r90,,,r90,r90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r90,,r90,r90,r90,r90,r90,r90,r90,r90,r90,,,,,,
57,s70,s57,,s63,,,,,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s65,s66,s67,s68,,
58,,,r92,,,r92,r92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r92,,r92,r92,r92,r92,r92,r92,r92,r92,r92,,,,,,
59,,,r93,,,r93,r93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r93,,r93,r93,r93,r93,r93,r93,r93,r93,r93,,,,,,
60,,,r12,,r12,r12,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r12,,r12,r12,r12,r12,r12,r12,r12,r12,r12,,,,,,
61,,,r13,,r13,r13,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r13,,r13,r13,r13,r13,r13,r13,r13,r13,r13,,,,,,
62,,,r14,,r14,r14,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r14,,r14,r14,r14,r14,r14,r14,r14,r14,r14,,,,,,
63,,,r15,,r15,r15,r15,s104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r15,,r15,r15,r15,r15,r15,r15,r15,r15,r15,,,,,,
64,,,r17,,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r17,,r17,r17,r17,r17,r17,r17,r17,r17,r17,,,,,,
65,,,r94,,r94,r94,r94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r94,,r94,r94,r94,r94,r94,r94,r94,r94,r94,,,,,,
66,,,r95,,r95,r95,r95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r95,,r95,r95,r95,r95,r95,r95,r95,r95,r95,,,,,,
67,,,r96,,r96,r96,r96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r96,,r96,r96,r96,r96,r96,r96,r96,r96,r96,,,,,,
68,,,r97,,r97,r97,r97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r97,,r97,r97,r97,r97,r97,r97,r97,r97,r97,,,,,,
69,,s106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
